"javascript-api-express","/","recommendation","get;;target;;;;READ;;2;;E1E4","/api-gateway/src/docker/docker.js","31","18","31","41"
"javascript-api-express","/","recommendation","post;;'/booking';; booking ;;CREATE;;5;;E1E2E3E4E5","/booking-service/src/api/booking.js","5","3","54","4"
"javascript-api-express","/","recommendation","all;;[validate(req.body.user, 'user'), validate(req.body.booking, 'booking')];;;;READ;;1;;E1","/booking-service/src/api/booking.js","10","5","13","6"
"javascript-api-express","/","recommendation","all;;[paymentService(payment), resolve(user), resolve(booking)];;;;READ;;1;;E1","/booking-service/src/api/booking.js","29","14","33","8"
"javascript-api-express","/","recommendation","all;;[makeBooking(user, booking), resolve(paid), resolve(user)];;;;READ;;1;;E1","/booking-service/src/api/booking.js","36","14","40","8"
"javascript-api-express","/","recommendation","all;;[generateTicket(paid, booking), resolve(user)];;;;READ;;1;;E1","/booking-service/src/api/booking.js","43","14","46","8"
"javascript-api-express","/","recommendation","get;;'/booking/verify/:orderId';; booking verify ;;READ;;5;;E1E2E3E4E5","/booking-service/src/api/booking.js","56","3","62","4"
"javascript-api-express","/","recommendation","post;;'/notification/sendEmail';; notification sendEmail ;;CREATE;;3;;E1E2E3","/booking-service/src/services/notification.service.js","7","5","8","38"
"javascript-api-express","/","recommendation","post;;'/payment/makePurchase';; payment makePurchase ;;CREATE;;3;;E1E2E3","/booking-service/src/services/payment.service.js","7","5","8","36"
"javascript-api-express","/","recommendation","get;;'/cinemas';; cinemas ;;READ;;5;;E1E2E3E4E5","/cinema-catalog-service/src/api/cinema-catalog.js","7","3","13","4"
"javascript-api-express","/","recommendation","get;;'/cinemas/:cinemaId';; cinemas ;;READ;;5;;E1E2E3E4E5","/cinema-catalog-service/src/api/cinema-catalog.js","15","3","21","4"
"javascript-api-express","/","recommendation","get;;'/cinemas/:cityId/:movieId';; cinemas ;;READ;;5;;E1E2E3E4E5","/cinema-catalog-service/src/api/cinema-catalog.js","23","3","33","4"
"javascript-api-express","/","recommendation","get;;'/movies';; movies ;;READ;;5;;E1E2E3E4E5","/movies-service/src/api/movies.js","7","3","11","4"
"javascript-api-express","/","recommendation","get;;'/movies/premieres';; movies premieres ;;READ;;5;;E1E2E3E4E5","/movies-service/src/api/movies.js","13","3","17","4"
"javascript-api-express","/","recommendation","get;;'/movies/:id';; movies ;;READ;;5;;E1E2E3E4E5","/movies-service/src/api/movies.js","19","3","23","4"
"javascript-api-express","/","recommendation","post;;'/notification/sendEmail';; notification sendEmail ;;CREATE;;5;;E1E2E3E4E5","/notification-service/src/api/notification.js","5","3","16","4"
"javascript-api-express","/","recommendation","post;;'/notification/sendSMS';; notification sendSMS ;;CREATE;;5;;E1E2E3E4E5","/notification-service/src/api/notification.js","18","3","29","4"
"javascript-api-express","/","recommendation","post;;'/payment/makePurchase';; payment makePurchase ;;CREATE;;5;;E1E2E3E4E5","/payment-service/src/api/payment.js","5","3","16","4"
"javascript-api-express","/","recommendation","get;;'/payment/getPurchaseById/:id';; payment getPurchaseById ;;READ;;5;;E1E2E3E4E5","/payment-service/src/api/payment.js","18","3","24","4"
